Price,Date,Close,High,Low,Open,Volume
Ticker,,IBM,IBM,IBM,IBM,IBM
0,1963-01-02,0.9973433017730713,1.010952198336976,0.9960471286529542,1.010952198336976,2502555
1,1963-01-03,1.0278010368347168,1.0278010368347168,0.9992869858915647,0.9992869858915647,1176750
2,1963-01-04,1.0290977954864502,1.0388184667784708,1.0290977954864502,1.0290977954864502,1608225
3,1963-01-07,1.020673155784607,1.038818420992379,1.0187290410055243,1.0290977501287988,925710
4,1963-01-08,1.045946717262268,1.045946717262268,1.0290975321429188,1.0290975321429188,1890645
5,1963-01-09,1.0465952157974243,1.0563157910094065,1.0401148323227696,1.0459470804817788,2000475
6,1963-01-10,1.0537238121032715,1.0602043905873908,1.0491875429198627,1.0491875429198627,1623915
7,1963-01-11,1.0569638013839722,1.0569638013839722,1.0472431303528664,1.0537235130614913,1412100
8,1963-01-14,1.0738128423690796,1.0751090157003336,1.0569636557124849,1.0569636557124849,2588850
9,1963-01-15,1.0757569074630737,1.0835335585195147,1.0692763325933254,1.0738126962148924,2180910
10,1963-01-16,1.058908224105835,1.0744613410654063,1.0550199933500406,1.0744613410654063,1325805
11,1963-01-17,1.072516679763794,1.0751089292497014,1.0608519934338745,1.0608519934338745,1270890
12,1963-01-18,1.0692765712738037,1.0770532240661241,1.0640922653698084,1.0725168594319645,894330
13,1963-01-21,1.0731638669967651,1.0731638669967651,1.0589067498371443,1.06927544771825,917865
14,1963-01-22,1.0751093626022339,1.0854780738208165,1.0731652474302846,1.0731652474302846,972780
15,1963-01-23,1.0738128423690796,1.0796452829711793,1.0718687278244314,1.0751090157003336,690360
16,1963-01-24,1.078348994255066,1.0848293742116824,1.0731645933216454,1.0738125343491796,972780
17,1963-01-25,1.0848292112350464,1.0848292112350464,1.0731644320974387,1.0783488322519936,729585
18,1963-01-28,1.1003825664520264,1.1003825664520264,1.088069746599456,1.088069746599456,1663140
19,1963-01-29,1.093254566192627,1.1003829874318292,1.0926064309299819,1.1003829874318292,776655
20,1963-01-30,1.0874218940734863,1.0945504114054976,1.0835337617522733,1.0932544319438668,753120
21,1963-01-31,1.0984388589859009,1.0990868003042016,1.0835338814288842,1.0874220141795425,1043385
22,1963-02-01,1.0984388589859009,1.1013550797591083,1.0964946471583152,1.0984388589859009,564840
