Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
1,2007-10-08,30.87933349609375,33.64537091874948,30.685224759991605,33.64537091874948,126671715
2,2007-10-09,32.982181549072266,33.27334257330901,29.229427270218363,30.895519497505923,116725709
3,2007-10-10,33.28951644897461,33.96889505208489,32.998355444192676,33.839488454654,67931378
4,2007-10-11,37.009910583496094,38.82158501909971,32.99834858261307,38.82158501909971,106320954
5,2007-10-12,36.76726531982422,38.14219575573812,35.90995663148673,36.23346967523118,99410791
6,2007-10-15,37.25254440307617,37.75399238175067,36.929031276677506,37.52753143810056,41814972
7,2007-10-16,41.0538215637207,41.70085217174976,37.04225987667578,37.301068609545496,138614496
8,2007-10-17,44.256595611572266,45.29183471455822,34.32474126016521,36.88049561165581,204876259
9,2007-10-18,42.703731536865234,48.34903603582118,40.87588367505875,44.96832289540376,146617799
10,2007-10-19,42.558170318603516,44.28896671248295,40.43915635281395,41.733209075276584,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.98451232910156,45.388903743345445,43.02725525140456,43.02725525140456,74594921
13,2007-10-24,44.2889518737793,46.424139028048785,43.787503979074636,45.938865031784616,63055170
14,2007-10-25,44.19189453125,45.227138099078076,39.031859366115256,42.78461181458354,34522489
15,2007-10-26,45.5182991027832,46.24620350425056,43.755151130724876,44.968325133170474,62370025
16,2007-10-29,46.44031524658203,47.556437156688446,46.03592388609813,46.26238480313995,43657697
17,2007-10-30,47.475582122802734,48.753456814666045,45.68008097064122,47.07119056437842,79921711
18,2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
19,2007-11-01,47.378509521484375,50.03131900435608,46.99029638921167,49.6592797737885,50632492
20,2007-11-02,48.23581314086914,48.52697844288558,45.29184303635139,45.663886613833,32001693
21,2007-11-05,49.2225227355957,50.30629232830092,47.91229225321719,48.203457507919005,38833135
22,2007-11-06,49.86955642700195,53.02380913782165,49.19017804247073,50.079839063471155,81880281
23,2007-11-07,49.14166259765625,51.50330697331868,48.041718701976876,50.791580635139404,33593141
24,2007-11-08,48.30052185058594,49.61075266344967,47.23293027381786,47.879956535599156,27990521
25,2007-11-12,49.465179443359375,50.33866681870299,45.56684283909297,46.84472170525705,35153735
